OBJECTID,NAME,COUNTY,OSP,TWNCODE,LAND,Shape__Area,Shape__Length
63,PORTSMOUTH,NEWPORT,27,PO,Y,2.53742382483324e-06,0.00699035036113736
64,PORTSMOUTH,NEWPORT,27,PO,Y,2.96178768621758e-07,0.00232115093222927
65,PORTSMOUTH,NEWPORT,27,PO,Y,3.23482026942656e-07,0.00333711628898153
66,PORTSMOUTH,NEWPORT,27,PO,Y,2.06994172913255e-08,0.000557315346180209
67,PORTSMOUTH,NEWPORT,27,PO,Y,2.54468932325835e-06,0.0096890281100745
68,PORTSMOUTH,NEWPORT,27,PO,Y,3.63248773282976e-07,0.00502727117139341
69,PORTSMOUTH,NEWPORT,27,PO,Y,1.30948137666564e-07,0.00284156329058062
70,PORTSMOUTH,NEWPORT,27,PO,Y,3.04210061585763e-08,0.000693026155903172
71,PORTSMOUTH,NEWPORT,27,PO,Y,1.00209308584454e-06,0.00959498946210677
72,PORTSMOUTH,NEWPORT,27,PO,Y,6.27528606855776e-09,0.000304728081584611
73,PORTSMOUTH,NEWPORT,27,PO,Y,5.44687281944789e-08,0.00190703266889701
74,PORTSMOUTH,NEWPORT,27,PO,Y,3.12832071358571e-08,0.000919030179130884
75,PORTSMOUTH,NEWPORT,27,PO,Y,2.52975041803438e-07,0.00306935906758072
76,PORTSMOUTH,NEWPORT,27,PO,Y,2.22624066736898e-07,0.00310798510975954
77,PORTSMOUTH,NEWPORT,27,PO,Y,8.04982619229122e-07,0.00385699483148322
78,PORTSMOUTH,NEWPORT,27,PO,Y,6.04254864811082e-07,0.00494849208582322
79,PORTSMOUTH,NEWPORT,27,PO,Y,2.3204315766634e-06,0.00621600608241168
80,PORTSMOUTH,NEWPORT,27,PO,Y,3.1365165114039e-05,0.0340306071545191
81,EXETER,WASHINGTON,11,EX,Y,0.0163233582895828,0.743982554793659
82,NORTH KINGSTOWN,WASHINGTON,23,NK,Y,7.74116415414028e-09,0.000327973092789022
83,PORTSMOUTH,NEWPORT,27,PO,Y,1.14633401153696e-05,0.0164482547522089
84,TIVERTON,NEWPORT,33,TI,Y,1.0259550435876e-06,0.0046976714320769
85,NORTH KINGSTOWN,WASHINGTON,23,NK,Y,3.66441031474096e-06,0.00893577329573093
86,NORTH KINGSTOWN,WASHINGTON,23,NK,Y,8.09845596450032e-06,0.012881211845736
87,TIVERTON,NEWPORT,33,TI,Y,1.11664417090651e-06,0.00462146425500202
88,TIVERTON,NEWPORT,33,TI,Y,1.43697207022342e-07,0.00168778769889653
89,JAMESTOWN,NEWPORT,15,JA,Y,0.00259977000587241,0.508853330697014
90,NORTH KINGSTOWN,WASHINGTON,23,NK,Y,2.11305177799659e-08,0.000542787813805865
91,RICHMOND,WASHINGTON,29,RM,Y,0.0113821611134881,0.649080145082947
92,LITTLE COMPTON,NEWPORT,18,LC,Y,0.00626229754084306,0.392684732141426
93,MIDDLETOWN,NEWPORT,19,MI,Y,0.00368285890226616,0.38782253660689
94,NORTH KINGSTOWN,WASHINGTON,23,NK,Y,2.52866357186576e-06,0.00800619252976018
95,HOPKINTON,WASHINGTON,14,HO,Y,0.0123241526189304,0.640543104946848
96,NORTH KINGSTOWN,WASHINGTON,23,NK,Y,4.65019797957211e-06,0.0155273938200009
97,NORTH KINGSTOWN,WASHINGTON,23,NK,Y,4.17617229686584e-09,0.000247588105244506
98,LITTLE COMPTON,NEWPORT,18,LC,Y,4.73371073894668e-07,0.00496308153557865
99,TIVERTON,NEWPORT,33,TI,Y,5.27331849298207e-08,0.00115805989026202
100,TIVERTON,NEWPORT,33,TI,Y,3.37354322255123e-09,0.000336699286550102
101,TIVERTON,NEWPORT,33,TI,Y,5.75157628190937e-08,0.00141561737935081
102,LITTLE COMPTON,NEWPORT,18,LC,Y,5.20981825502531e-06,0.0221904956149392
103,TIVERTON,NEWPORT,33,TI,Y,1.70679413713515e-07,0.00205420854830375
104,LITTLE COMPTON,NEWPORT,18,LC,Y,4.51336745754816e-10,0.000247411701141493
105,LITTLE COMPTON,NEWPORT,18,LC,Y,2.79946107184514e-07,0.0026385604664046
106,LITTLE COMPTON,NEWPORT,18,LC,Y,4.53522488896851e-07,0.00295036617417525
107,TIVERTON,NEWPORT,33,TI,Y,1.35116806632141e-08,0.000677609498498169
108,LITTLE COMPTON,NEWPORT,18,LC,Y,4.71670773549704e-08,0.00119057536547566
109,TIVERTON,NEWPORT,33,TI,Y,4.47307684225962e-08,0.000962194563271916
110,LITTLE COMPTON,NEWPORT,18,LC,Y,1.46201273309998e-10,7.9587282820304e-05
111,LITTLE COMPTON,NEWPORT,18,LC,Y,6.01483316131635e-06,0.0152236398501081
112,LITTLE COMPTON,NEWPORT,18,LC,Y,5.34373612026684e-08,0.000898300203562439
113,JAMESTOWN,NEWPORT,15,JA,Y,2.2328939394356e-05,0.0266630191860539
114,SOUTH KINGSTOWN,WASHINGTON,32,SK,Y,0.0167819664618492,1.24453260280406
115,NEWPORT,NEWPORT,21,NE,Y,0.0021587448873106,0.513481690633095
116,NEWPORT,NEWPORT,21,NE,Y,4.64729100713157e-05,0.0343378187326976
117,JAMESTOWN,NEWPORT,15,JA,Y,3.897116562257e-05,0.0354700499425467
118,JAMESTOWN,NEWPORT,15,JA,Y,1.24047346616862e-07,0.00153436144164769
119,NARRAGANSETT,WASHINGTON,20,NA,Y,0.00140346631496868,0.242657723602709
120,NEWPORT,NEWPORT,21,NE,Y,1.59571072799736e-07,0.00267392317123678
121,NEWPORT,NEWPORT,21,NE,Y,7.41310986995813e-06,0.0131507526058653
122,NEWPORT,NEWPORT,21,NE,Y,1.58851944433991e-05,0.0264919334350306
123,JAMESTOWN,NEWPORT,15,JA,Y,1.30644139062497e-07,0.00236318320177527
124,JAMESTOWN,NEWPORT,15,JA,Y,2.4098198991851e-08,0.000655972684201583
125,JAMESTOWN,NEWPORT,15,JA,Y,1.25602809930569e-07,0.00144415611140269
126,JAMESTOWN,NEWPORT,15,JA,Y,2.97147835226497e-08,0.000705378675223771
127,MIDDLETOWN,NEWPORT,19,MI,Y,5.91273874306353e-08,0.00122260938059604
128,JAMESTOWN,NEWPORT,15,JA,Y,1.83655401997385e-07,0.00188290420433367
129,JAMESTOWN,NEWPORT,15,JA,Y,1.72596173797501e-07,0.00189062137585883
130,JAMESTOWN,NEWPORT,15,JA,Y,2.87609509541653e-08,0.000684453665267661
131,JAMESTOWN,NEWPORT,15,JA,Y,1.94727363123093e-08,0.000575339443334198
132,JAMESTOWN,NEWPORT,15,JA,Y,6.64904291625135e-08,0.00142926457226244
133,JAMESTOWN,NEWPORT,15,JA,Y,2.63521542365197e-07,0.00253765020938476
134,JAMESTOWN,NEWPORT,15,JA,Y,6.6552274802234e-09,0.000315113777260507
135,MIDDLETOWN,NEWPORT,19,MI,Y,3.61146703653503e-08,0.000739403937666111
136,JAMESTOWN,NEWPORT,15,JA,Y,1.61746811500052e-08,0.000507942015337967
137,MIDDLETOWN,NEWPORT,19,MI,Y,3.75608124159044e-07,0.00291506609333124
138,MIDDLETOWN,NEWPORT,19,MI,Y,8.27240000944585e-08,0.00126984512604871
139,JAMESTOWN,NEWPORT,15,JA,Y,1.95502707356354e-08,0.000550815620585382
140,MIDDLETOWN,NEWPORT,19,MI,Y,7.18650881026406e-08,0.00120102823334174
141,MIDDLETOWN,NEWPORT,19,MI,Y,9.80451204668498e-08,0.00147028066532513
142,JAMESTOWN,NEWPORT,15,JA,Y,2.38438587985002e-07,0.00202403743137875
143,NEWPORT,NEWPORT,21,NE,Y,1.77959918801207e-07,0.00280350950341519
144,JAMESTOWN,NEWPORT,15,JA,Y,2.24875520871137e-07,0.00282241592507276
145,LITTLE COMPTON,NEWPORT,18,LC,Y,3.71602936866111e-07,0.003840616282643
146,LITTLE COMPTON,NEWPORT,18,LC,Y,2.773481355689e-08,0.000660070795305905
147,LITTLE COMPTON,NEWPORT,18,LC,Y,3.8619418774033e-07,0.00351267885590709
148,LITTLE COMPTON,NEWPORT,18,LC,Y,1.91877916222438e-07,0.00214694298273289
149,LITTLE COMPTON,NEWPORT,18,LC,Y,1.34120682560024e-07,0.00177764971806057
150,LITTLE COMPTON,NEWPORT,18,LC,Y,1.88326794159366e-08,0.000524815709322866
151,LITTLE COMPTON,NEWPORT,18,LC,Y,1.38070390676148e-08,0.000541650080588651
152,NARRAGANSETT,WASHINGTON,20,NA,Y,9.43302893574582e-08,0.00165728675283425
153,LITTLE COMPTON,NEWPORT,18,LC,Y,1.51292169903172e-08,0.000489561853556894
154,LITTLE COMPTON,NEWPORT,18,LC,Y,8.36371327750385e-09,0.000348275798639843
155,LITTLE COMPTON,NEWPORT,18,LC,Y,3.58313627657481e-08,0.000903839757565561
156,LITTLE COMPTON,NEWPORT,18,LC,Y,6.30234353593551e-09,0.000302538678789524
157,NARRAGANSETT,WASHINGTON,20,NA,Y,6.92057255946565e-09,0.000322479735920832
158,LITTLE COMPTON,NEWPORT,18,LC,Y,5.43336682312656e-08,0.00102959244053286
159,NEWPORT,NEWPORT,21,NE,Y,9.79312062554527e-08,0.00147329341886284
160,NARRAGANSETT,WASHINGTON,20,NA,Y,1.28520696307532e-08,0.000466373920857587
161,NARRAGANSETT,WASHINGTON,20,NA,Y,8.91373019840103e-09,0.000363738727303405
162,LITTLE COMPTON,NEWPORT,18,LC,Y,2.13535713555757e-08,0.000623872096893536
163,LITTLE COMPTON,NEWPORT,18,LC,Y,6.42157829133794e-08,0.00133713372156037
164,LITTLE COMPTON,NEWPORT,18,LC,Y,5.88556758884806e-08,0.000997487173031318
165,LITTLE COMPTON,NEWPORT,18,LC,Y,1.3789167496725e-07,0.00206766390209815
166,LITTLE COMPTON,NEWPORT,18,LC,Y,6.57616965327179e-08,0.00104882604978948
167,LITTLE COMPTON,NEWPORT,18,LC,Y,4.43956196249928e-08,0.000944362708298426
168,CHARLESTOWN,WASHINGTON,5,CH,Y,0.0104794840990508,1.00239433022826
169,LITTLE COMPTON,NEWPORT,18,LC,Y,5.23864400747698e-08,0.000991475329160337
170,LITTLE COMPTON,NEWPORT,18,LC,Y,8.88862814463209e-08,0.00153837563080578
171,LITTLE COMPTON,NEWPORT,18,LC,Y,5.89629962632898e-08,0.0012129356572616
172,LITTLE COMPTON,NEWPORT,18,LC,Y,1.01110799732851e-08,0.000448781834300363
173,LITTLE COMPTON,NEWPORT,18,LC,Y,7.14885572961066e-09,0.00038070854324272
174,LITTLE COMPTON,NEWPORT,18,LC,Y,1.58920556714293e-08,0.000556916542182617
175,LITTLE COMPTON,NEWPORT,18,LC,Y,9.3069729700801e-08,0.00117029665343772
176,NEWPORT,NEWPORT,21,NE,Y,2.53485040957457e-07,0.0021879504291941
177,LITTLE COMPTON,NEWPORT,18,LC,Y,9.06650257093133e-08,0.00125910223324319
178,LITTLE COMPTON,NEWPORT,18,LC,Y,1.44932528201025e-08,0.000472627282278035
179,NEWPORT,NEWPORT,21,NE,Y,7.36738456907915e-08,0.00108075860576694
180,NEWPORT,NEWPORT,21,NE,Y,5.00067471875809e-08,0.000852314733972058
181,NEWPORT,NEWPORT,21,NE,Y,1.48152139445301e-08,0.000468799767745948
182,LITTLE COMPTON,NEWPORT,18,LC,Y,2.52382506005233e-08,0.000639418678303717
183,LITTLE COMPTON,NEWPORT,18,LC,Y,1.00495299193426e-07,0.00132267987298161
184,NEWPORT,NEWPORT,21,NE,Y,1.36723201649147e-07,0.00203084137194809
185,NEWPORT,NEWPORT,21,NE,Y,6.45595719106495e-08,0.00119317565157418
186,LITTLE COMPTON,NEWPORT,18,LC,Y,4.18003764934838e-08,0.000947734311026548
187,NEWPORT,NEWPORT,21,NE,Y,2.10566213354468e-08,0.000613579343418562
188,LITTLE COMPTON,NEWPORT,18,LC,Y,8.80190782481804e-08,0.00170787640717727
189,LITTLE COMPTON,NEWPORT,18,LC,Y,2.76922946795821e-08,0.000780940987521596
190,NEWPORT,NEWPORT,21,NE,Y,1.44661953527248e-08,0.000441739519203414
191,LITTLE COMPTON,NEWPORT,18,LC,Y,9.3536073109135e-08,0.00143120576755856
192,NEWPORT,NEWPORT,21,NE,Y,1.11936060420703e-08,0.000402721164581919
193,NEWPORT,NEWPORT,21,NE,Y,8.56903170642909e-09,0.000345241272633982
194,NARRAGANSETT,WASHINGTON,20,NA,Y,4.36250502389157e-08,0.00113184120225284
195,NEWPORT,NEWPORT,21,NE,Y,5.45401235285681e-08,0.000874523632494879
196,NARRAGANSETT,WASHINGTON,20,NA,Y,6.07726633461425e-08,0.00114731338816304
197,NEWPORT,NEWPORT,21,NE,Y,1.67397047334816e-08,0.000487771222256527
198,LITTLE COMPTON,NEWPORT,18,LC,Y,4.36671143688727e-08,0.00083730016806199
199,LITTLE COMPTON,NEWPORT,18,LC,Y,5.00310761708533e-08,0.00113480497386526
200,LITTLE COMPTON,NEWPORT,18,LC,Y,5.13832674187142e-08,0.000883258525023951
201,NEWPORT,NEWPORT,21,NE,Y,1.11693452709005e-07,0.0017123075156153
202,NEWPORT,NEWPORT,21,NE,Y,7.1987415140029e-08,0.00110571018892386
203,NEWPORT,NEWPORT,21,NE,Y,5.07279764860868e-08,0.000868497955976468
204,NARRAGANSETT,WASHINGTON,20,NA,Y,2.55329268838977e-08,0.000733931225356413
205,NEWPORT,NEWPORT,21,NE,Y,1.46876573126065e-08,0.000446049574023934
206,NEWPORT,NEWPORT,21,NE,Y,1.46401362144388e-08,0.000492706496714916
207,NEWPORT,NEWPORT,21,NE,Y,3.1253421184374e-08,0.000729131933626396
208,LITTLE COMPTON,NEWPORT,18,LC,Y,1.22429355542408e-08,0.000425115736829568
209,LITTLE COMPTON,NEWPORT,18,LC,Y,3.55482825398212e-08,0.000770453757320612
210,LITTLE COMPTON,NEWPORT,18,LC,Y,2.55419763561804e-07,0.00231600415727837
211,NEWPORT,NEWPORT,21,NE,Y,6.83644429955166e-09,0.00031368674604727
212,NEWPORT,NEWPORT,21,NE,Y,5.93538516113767e-08,0.00102121017176093
213,NEWPORT,NEWPORT,21,NE,Y,1.06786046671914e-08,0.000417070937959666
214,NEWPORT,NEWPORT,21,NE,Y,2.52202880801633e-09,0.000199552712642568
215,NEWPORT,NEWPORT,21,NE,Y,3.07795744447503e-08,0.00073476130110347
216,NEWPORT,NEWPORT,21,NE,Y,1.62087872013217e-08,0.000505547344250845
217,NEWPORT,NEWPORT,21,NE,Y,4.32660272053909e-08,0.000890803870512618
218,NEWPORT,NEWPORT,21,NE,Y,1.25037331599742e-08,0.000920704686594695
219,NEWPORT,NEWPORT,21,NE,Y,3.03453430205991e-06,0.0103098561610925
220,NEWPORT,NEWPORT,21,NE,Y,8.49513526191004e-09,0.00036134056501711
221,NEWPORT,NEWPORT,21,NE,Y,2.21516529563814e-08,0.000544030035660571
222,LITTLE COMPTON,NEWPORT,18,LC,Y,2.94280653179158e-08,0.000658626705834776
223,NEWPORT,NEWPORT,21,NE,Y,2.74458216154017e-08,0.000677660371147443
224,NEWPORT,NEWPORT,21,NE,Y,4.13342604588252e-09,0.000243427031144929
225,NEWPORT,NEWPORT,21,NE,Y,2.66345523414202e-09,0.000200238517580596
226,LITTLE COMPTON,NEWPORT,18,LC,Y,1.66951394930948e-08,0.000524367390820572
227,LITTLE COMPTON,NEWPORT,18,LC,Y,6.41773567622295e-08,0.000950673931920966
228,LITTLE COMPTON,NEWPORT,18,LC,Y,2.83164354186738e-08,0.000629826209747674
229,LITTLE COMPTON,NEWPORT,18,LC,Y,8.7588432506891e-08,0.00127115091128311
230,LITTLE COMPTON,NEWPORT,18,LC,Y,2.21409663936356e-08,0.000637657418202753
231,LITTLE COMPTON,NEWPORT,18,LC,Y,4.25625330535695e-08,0.000928631817949859
232,LITTLE COMPTON,NEWPORT,18,LC,Y,4.35577476309845e-08,0.000837280730901432
233,LITTLE COMPTON,NEWPORT,18,LC,Y,1.25976157505647e-07,0.001397186226636
234,NARRAGANSETT,WASHINGTON,20,NA,Y,1.57310751092155e-08,0.000494982750434206
235,NARRAGANSETT,WASHINGTON,20,NA,Y,1.63299773703329e-08,0.000510324553607378
236,NEWPORT,NEWPORT,21,NE,Y,8.85931967786746e-08,0.00150315522475231
237,NARRAGANSETT,WASHINGTON,20,NA,Y,1.3970748113934e-07,0.00224017142896512
238,LITTLE COMPTON,NEWPORT,18,LC,Y,1.56430814968189e-08,0.000454846332311263
239,LITTLE COMPTON,NEWPORT,18,LC,Y,1.1239080777159e-08,0.000451558268352398
240,LITTLE COMPTON,NEWPORT,18,LC,Y,8.64404228195781e-08,0.00110660929190902
241,LITTLE COMPTON,NEWPORT,18,LC,Y,1.99967416847358e-07,0.0026297937790914
242,LITTLE COMPTON,NEWPORT,18,LC,Y,1.49802872329019e-08,0.00048722011883361
243,NEWPORT,NEWPORT,21,NE,Y,3.90184595744358e-08,0.000864399094861539
244,NEWPORT,NEWPORT,21,NE,Y,2.1951336748316e-08,0.000558116365551824
245,NEWPORT,NEWPORT,21,NE,Y,3.60910235031042e-09,0.000232220198266116
246,NEWPORT,NEWPORT,21,NE,Y,1.49541392602259e-08,0.000469046430123382
247,NEWPORT,NEWPORT,21,NE,Y,1.06945890365751e-07,0.00148754311754323
248,NEWPORT,NEWPORT,21,NE,Y,1.17863692139508e-08,0.000405084493133862
249,NEWPORT,NEWPORT,21,NE,Y,3.20560502586886e-08,0.00076740733316648
250,NEWPORT,NEWPORT,21,NE,Y,8.38645064504817e-09,0.000346272019200357
251,NEWPORT,NEWPORT,21,NE,Y,2.20676611206727e-07,0.00184878732498
252,LITTLE COMPTON,NEWPORT,18,LC,Y,1.26694612845313e-06,0.00470496244474977
253,NEWPORT,NEWPORT,21,NE,Y,7.12793735146988e-09,0.000332990779872809
254,NEWPORT,NEWPORT,21,NE,Y,4.63919604953844e-08,0.000885820982090833
255,NEWPORT,NEWPORT,21,NE,Y,3.59782461600844e-08,0.000809499173100156
256,NEWPORT,NEWPORT,21,NE,Y,1.25403403217206e-08,0.000463610023281959
257,NEWPORT,NEWPORT,21,NE,Y,2.61252353084274e-08,0.000735834632955162
258,NEWPORT,NEWPORT,21,NE,Y,1.55440375237959e-07,0.00149734490417135
259,NEWPORT,NEWPORT,21,NE,Y,1.05476374301361e-08,0.000426963489636995
260,LITTLE COMPTON,NEWPORT,18,LC,Y,2.28857220463397e-06,0.00821352036708156
261,NEWPORT,NEWPORT,21,NE,Y,1.31799424707424e-08,0.00048973619227525
262,LITTLE COMPTON,NEWPORT,18,LC,Y,1.56835540110478e-08,0.000577499359182507
263,NEWPORT,NEWPORT,21,NE,Y,1.46242200571578e-08,0.000513876042844446
264,NEWPORT,NEWPORT,21,NE,Y,7.34394234314095e-09,0.000359766925255258
265,NEWPORT,NEWPORT,21,NE,Y,1.25128281069919e-08,0.000434011244935776
266,LITTLE COMPTON,NEWPORT,18,LC,Y,1.39461917569861e-08,0.000440906892986166
267,NEWPORT,NEWPORT,21,NE,Y,5.52222445548978e-09,0.00029683324310836
268,NEWPORT,NEWPORT,21,NE,Y,3.21554125548573e-08,0.000681953488255
269,NEWPORT,NEWPORT,21,NE,Y,3.09684082822059e-07,0.00298516513827783
270,LITTLE COMPTON,NEWPORT,18,LC,Y,1.27492967294529e-08,0.000445309915277567
271,NEWPORT,NEWPORT,21,NE,Y,4.09347649110714e-08,0.000745402145017222
272,NEWPORT,NEWPORT,21,NE,Y,1.84131749847438e-08,0.000512794521526428
273,LITTLE COMPTON,NEWPORT,18,LC,Y,5.65512436878635e-08,0.000940175043786126
274,LITTLE COMPTON,NEWPORT,18,LC,Y,8.96539631867199e-07,0.00452021595368552
275,LITTLE COMPTON,NEWPORT,18,LC,Y,9.26343091123272e-09,0.000416278319566804
276,LITTLE COMPTON,NEWPORT,18,LC,Y,1.81589712155983e-08,0.000570336383766214
277,LITTLE COMPTON,NEWPORT,18,LC,Y,5.43764144822489e-08,0.000909380757971894
278,LITTLE COMPTON,NEWPORT,18,LC,Y,3.14776343657286e-07,0.00267540822462539
279,NARRAGANSETT,WASHINGTON,20,NA,Y,0.00240790520547307,0.473758968334149
280,NEWPORT,NEWPORT,21,NE,Y,6.80938683217391e-09,0.000317611042062251
281,LITTLE COMPTON,NEWPORT,18,LC,Y,3.11060603053193e-07,0.00241724114908076
282,NARRAGANSETT,WASHINGTON,20,NA,Y,2.16333091884735e-07,0.0028170800421581
283,NARRAGANSETT,WASHINGTON,20,NA,Y,1.3177668733988e-07,0.00216859907923217
284,NARRAGANSETT,WASHINGTON,20,NA,Y,2.05038759304443e-08,0.000598431386871266
285,NARRAGANSETT,WASHINGTON,20,NA,Y,3.08944436255842e-07,0.00337262119959719
286,NARRAGANSETT,WASHINGTON,20,NA,Y,1.58238435687963e-08,0.000486127517855343
287,NARRAGANSETT,WASHINGTON,20,NA,Y,1.50409960042452e-07,0.00160230530185664
288,NARRAGANSETT,WASHINGTON,20,NA,Y,3.06124547932995e-08,0.000718655802633756
289,NARRAGANSETT,WASHINGTON,20,NA,Y,1.08182121039135e-08,0.000408569445076576
290,NARRAGANSETT,WASHINGTON,20,NA,Y,6.69365363137331e-09,0.000319968227264879
291,NARRAGANSETT,WASHINGTON,20,NA,Y,2.18483364733402e-08,0.000649396055531527
292,NARRAGANSETT,WASHINGTON,20,NA,Y,7.36235961085185e-09,0.000339224140846055
293,NARRAGANSETT,WASHINGTON,20,NA,Y,3.06488345813705e-08,0.000713625329537051
294,NARRAGANSETT,WASHINGTON,20,NA,Y,9.09176378627308e-09,0.00037355866995285
295,NARRAGANSETT,WASHINGTON,20,NA,Y,6.3862671595416e-08,0.00103166489112434
296,SOUTH KINGSTOWN,WASHINGTON,32,SK,Y,3.59589193976717e-08,0.000900908042442487
297,SOUTH KINGSTOWN,WASHINGTON,32,SK,Y,4.20512606069678e-07,0.00299282144723091
298,WESTERLY,WASHINGTON,36,WY,Y,0.00840802580751188,1.05466011539035
299,SOUTH KINGSTOWN,WASHINGTON,32,SK,Y,7.07573690306162e-07,0.00462668915545487
300,SOUTH KINGSTOWN,WASHINGTON,32,SK,Y,5.69039002584759e-08,0.000903320712699147
301,NARRAGANSETT,WASHINGTON,20,NA,Y,5.15110968990484e-07,0.00329404407916991
302,SOUTH KINGSTOWN,WASHINGTON,32,SK,Y,1.06227753349231e-06,0.00469197395500375
